,price,freight_value,payment_type,payment_value,order_purchase_timestamp,customer_state,mes_compra,ano_compra,dia_compra
17,132.9,21.42,credit_card,154.32,2017-09-27 21:06:52,SP,9,2017,27
18,132.9,18.18,credit_card,151.08,2017-08-24 07:15:30,SP,8,2017,24
21,131.9,18.54,credit_card,150.44,2017-11-24 01:08:37,SP,11,2017,24
27,131.9,18.54,credit_card,12.59,2017-12-26 15:29:42,SP,12,2017,26
28,131.9,18.54,voucher,137.85,2017-12-26 15:29:42,SP,12,2017,26
29,58.9,15.16,credit_card,74.06,2017-10-02 10:25:22,SP,10,2017,2
33,55.9,15.14,credit_card,71.04,2017-08-03 14:34:26,SP,8,2017,3
35,54.9,15.13,credit_card,70.03,2017-05-25 00:27:30,SP,5,2017,25
36,139.9,16.74,credit_card,156.64,2017-07-01 15:27:23,SP,7,2017,1
38,149.9,16.81,credit_card,166.71,2017-09-02 21:36:53,SP,9,2017,2
45,48.9,16.11,credit_card,65.01,2017-10-14 11:51:19,SP,10,2017,14
46,44.9,16.11,credit_card,61.01,2017-07-13 14:51:58,SP,7,2017,13
47,44.9,12.89,credit_card,123.02,2017-05-24 11:39:16,SP,5,2017,24
48,45.9,19.33,credit_card,123.02,2017-05-24 11:39:16,SP,5,2017,24
49,44.9,16.11,credit_card,61.01,2017-05-17 21:51:30,SP,5,2017,17
52,95.9,16.43,credit_card,112.33,2017-08-01 19:24:31,SP,8,2017,1
56,42.9,16.11,credit_card,59.01,2017-09-28 10:18:49,SP,9,2017,28
58,45.9,16.11,credit_card,62.01,2017-10-21 15:41:41,SP,10,2017,21
69,39.9,16.11,credit_card,56.01,2017-07-19 12:26:42,SP,7,2017,19
72,48.9,16.11,boleto,65.01,2017-11-02 19:39:24,SP,11,2017,2
74,45.9,16.11,credit_card,62.01,2017-10-07 15:27:15,SP,10,2017,7
77,42.9,16.11,boleto,59.01,2017-09-22 13:10:51,SP,9,2017,22
84,45.9,15.56,credit_card,61.46,2017-04-05 13:04:39,SP,4,2017,5
86,45.9,16.11,boleto,62.01,2017-05-25 08:08:14,SP,5,2017,25
90,45.9,15.56,credit_card,61.46,2017-03-22 14:57:30,SP,3,2017,22
91,51.9,16.12,boleto,68.02,2017-08-31 13:57:57,SP,8,2017,31
96,45.9,16.11,credit_card,62.01,2017-06-22 20:42:30,SP,6,2017,22
97,51.9,16.12,debit_card,68.02,2017-10-13 17:37:07,SP,10,2017,13
103,45.9,16.11,credit_card,62.01,2017-05-13 18:49:33,SP,5,2017,13
104,48.9,16.11,voucher,65.01,2017-08-05 14:08:13,SP,8,2017,5
110,55.9,16.15,credit_card,72.05,2017-06-18 23:53:35,SP,6,2017,18
112,58.9,21.32,boleto,142.57,2017-08-22 10:14:07,SP,8,2017,22
113,49.9,12.45,boleto,142.57,2017-08-22 10:14:07,SP,8,2017,22
126,44.9,16.11,credit_card,61.01,2017-08-08 22:14:54,SP,8,2017,8
128,44.9,16.11,boleto,61.01,2017-08-09 21:02:12,SP,8,2017,9
130,46.9,13.23,credit_card,60.13,2017-10-22 14:25:40,SP,10,2017,22
135,69.9,15.24,credit_card,85.14,2017-07-21 20:00:27,SP,7,2017,21
138,69.9,15.24,credit_card,85.14,2017-10-08 21:18:09,SP,10,2017,8
143,79.9,12.06,boleto,91.96,2017-11-24 17:22:24,SP,11,2017,24
144,139.9,18.23,boleto,158.13,2017-09-05 07:54:09,SP,9,2017,5
149,139.9,18.23,credit_card,158.13,2017-10-03 19:04:04,SP,10,2017,3
157,169.9,12.39,credit_card,182.29,2017-12-11 10:00:41,SP,12,2017,11
158,169.9,12.39,credit_card,182.29,2017-11-26 12:13:36,SP,11,2017,26
159,169.9,12.39,credit_card,182.29,2017-12-03 16:29:43,SP,12,2017,3
165,169.9,12.39,credit_card,182.29,2017-12-29 20:20:52,SP,12,2017,29
171,138.9,17.71,credit_card,156.61,2017-04-17 19:27:25,SP,4,2017,17
172,139.9,16.19,credit_card,156.09,2017-03-18 16:42:47,SP,3,2017,18
173,259.4,19.07,credit_card,278.47,2017-10-10 18:57:45,SP,10,2017,10
177,118.9,18.08,credit_card,136.98,2017-05-29 20:54:28,SP,5,2017,29
187,239.9,19.93,credit_card,259.83,2017-04-26 10:53:06,SP,4,2017,26
192,49.9,13.08,voucher,62.98,2017-10-11 08:17:44,SP,10,2017,11
196,84.9,30.9,credit_card,65.8,2017-12-05 09:21:51,SP,12,2017,5
197,84.9,30.9,voucher,50.0,2017-12-05 09:21:51,SP,12,2017,5
200,84.9,15.35,boleto,100.25,2017-09-02 20:38:29,SP,9,2017,2
201,84.9,13.61,credit_card,197.02,2017-06-04 18:58:07,SP,6,2017,4
202,84.9,13.61,credit_card,197.02,2017-06-04 18:58:07,SP,6,2017,4
219,45.9,11.73,credit_card,115.26,2017-10-16 11:34:00,SP,10,2017,16
220,45.9,11.73,credit_card,115.26,2017-10-16 11:34:00,SP,10,2017,16
241,45.9,13.08,credit_card,58.98,2017-11-28 18:44:57,SP,11,2017,28
254,45.9,11.73,credit_card,57.63,2017-08-27 13:14:04,SP,8,2017,27
255,45.9,13.08,boleto,117.96,2017-11-29 21:11:05,SP,11,2017,29
256,45.9,13.08,boleto,117.96,2017-11-29 21:11:05,SP,11,2017,29
257,259.9,59.73,credit_card,319.63,2017-09-03 20:34:23,SP,9,2017,3
258,259.9,51.42,credit_card,311.32,2017-11-21 23:41:35,SP,11,2017,21
284,34.9,11.51,credit_card,164.43,2017-10-16 15:04:08,SP,10,2017,16
285,95.0,23.02,credit_card,164.43,2017-10-16 15:04:08,SP,10,2017,16
291,38.99,11.73,boleto,101.44,2017-05-10 04:12:20,SP,5,2017,10
292,38.99,11.73,boleto,101.44,2017-05-10 04:12:20,SP,5,2017,10
296,84.9,11.8,credit_card,96.7,2017-08-11 16:25:03,SP,8,2017,11
299,84.9,14.02,credit_card,142.53,2017-07-11 11:50:22,SP,7,2017,11
300,35.9,7.71,credit_card,142.53,2017-07-11 11:50:22,SP,7,2017,11
302,17.9,8.72,credit_card,26.62,2017-08-30 11:51:44,SP,8,2017,30
303,17.9,8.72,credit_card,26.62,2017-06-13 15:49:59,SP,6,2017,13
304,120.0,15.6,debit_card,135.6,2017-11-22 13:21:14,SP,11,2017,22
305,120.0,15.6,credit_card,135.6,2017-10-08 20:07:54,SP,10,2017,8
307,219.9,39.56,credit_card,259.46,2017-07-08 18:09:27,SP,7,2017,8
312,59.9,44.76,credit_card,223.69,2017-07-18 11:48:20,SP,7,2017,18
313,119.0,0.03,credit_card,223.69,2017-07-18 11:48:20,SP,7,2017,18
315,159.9,12.32,credit_card,172.22,2017-10-18 10:12:55,SP,10,2017,18
317,129.9,9.72,credit_card,139.62,2017-10-13 11:16:27,SP,10,2017,13
327,38.99,13.23,debit_card,74.98,2017-06-09 23:01:58,SP,6,2017,9
328,20.9,1.86,debit_card,74.98,2017-06-09 23:01:58,SP,6,2017,9
333,16.9,11.73,credit_card,28.63,2017-07-20 10:36:22,SP,7,2017,20
343,89.9,21.28,boleto,111.18,2017-05-11 14:35:52,SP,5,2017,11
348,29.9,11.73,credit_card,41.63,2017-09-26 21:12:04,SP,9,2017,26
356,149.0,18.29,credit_card,167.29,2017-12-07 20:37:39,SP,12,2017,7
360,239.0,18.15,credit_card,257.15,2017-11-25 14:51:18,SP,11,2017,25
369,89.9,12.13,credit_card,408.12,2017-07-19 10:17:34,SP,7,2017,19
370,89.9,12.13,credit_card,408.12,2017-07-19 10:17:34,SP,7,2017,19
371,89.9,12.13,credit_card,408.12,2017-07-19 10:17:34,SP,7,2017,19
372,89.9,12.13,credit_card,408.12,2017-07-19 10:17:34,SP,7,2017,19
383,199.9,18.14,credit_card,218.04,2017-02-04 13:57:51,SP,2,2017,4
389,199.9,27.72,credit_card,227.62,2017-12-19 20:48:05,SP,12,2017,19
394,199.9,27.72,credit_card,227.62,2017-07-04 00:03:44,SP,7,2017,4
395,69.9,15.7,credit_card,85.6,2017-04-13 22:40:08,SP,4,2017,13
396,69.9,15.7,credit_card,85.6,2017-05-02 20:57:56,SP,5,2017,2
398,79.9,17.81,credit_card,97.71,2017-11-10 21:39:06,SP,11,2017,10
399,69.9,15.7,credit_card,85.6,2017-04-20 11:13:25,SP,4,2017,20
400,175.3,19.51,credit_card,194.81,2017-04-01 17:11:03,SP,4,2017,1
