price,freight_value,payment_type,payment_value,customer_state,mes_compra
64.9,18.33,credit_card,83.23,MG,5
64.9,38.5,boleto,103.4,BA,3
131.9,19.98,credit_card,151.88,SP,4
185.03,20.49,boleto,205.52,SP,6
99.9,57.25,credit_card,157.15,RN,4
99.9,12.03,credit_card,111.93,RJ,5
50.9,9.44,credit_card,60.34,RJ,3
49.9,19.32,credit_card,69.22,DF,3
49.4,16.11,credit_card,65.51,SP,3
49.9,13.56,credit_card,63.46,RJ,8
128.9,20.0,credit_card,148.9,SP,2
131.3,18.54,credit_card,149.84,SP,2
164.9,13.28,credit_card,178.18,MG,1
132.08,10.24,credit_card,142.32,RJ,8
38.9,16.56,boleto,318.36,SP,4
109.99,23.25,boleto,318.36,SP,4
109.9,19.76,boleto,318.36,SP,4
59.9,34.19,credit_card,24.9,SP,3
59.9,34.19,voucher,69.19,SP,3
29.9,11.15,credit_card,41.05,SP,3
29.9,14.44,credit_card,44.34,SP,3
34.9,18.41,boleto,53.31,SP,7
49.9,17.26,boleto,134.32,SP,3
49.9,17.26,boleto,134.32,SP,3
49.9,12.43,credit_card,62.33,SP,4
49.9,14.62,credit_card,64.52,SP,6
49.9,12.43,debit_card,62.33,SP,4
49.9,14.74,boleto,64.64,SP,6
49.9,12.43,credit_card,62.33,SP,3
49.9,24.98,credit_card,74.88,DF,6
49.9,26.43,credit_card,152.66,PR,4
49.9,26.43,credit_card,152.66,PR,4
45.9,17.26,credit_card,1.43,SP,3
45.9,17.26,voucher,20.58,SP,3
45.9,17.26,voucher,41.15,SP,3
49.9,12.43,credit_card,62.33,SP,4
49.9,26.43,credit_card,152.66,PR,3
49.9,26.43,credit_card,152.66,PR,3
49.9,17.26,boleto,268.64,SP,3
49.9,17.26,boleto,268.64,SP,3
49.9,17.26,boleto,268.64,SP,3
49.9,17.26,boleto,268.64,SP,3
49.9,27.33,credit_card,77.23,GO,7
49.9,35.7,credit_card,85.6,SC,6
45.9,17.26,credit_card,126.32,SP,3
45.9,17.26,credit_card,126.32,SP,3
49.9,26.79,credit_card,76.69,PE,4
49.9,14.74,credit_card,129.28,SP,7
49.9,14.74,credit_card,129.28,SP,7
49.9,26.43,boleto,76.33,RS,3
49.9,12.43,boleto,124.66,SP,3
49.9,12.43,boleto,124.66,SP,3
49.9,24.7,credit_card,149.2,RS,7
49.9,24.7,credit_card,149.2,RS,7
49.9,12.43,boleto,62.33,SP,3
49.9,16.44,credit_card,131.78,SP,6
49.0,16.44,credit_card,131.78,SP,6
35.9,11.15,credit_card,47.05,SP,5
35.9,17.46,credit_card,53.36,SP,6
35.9,18.02,boleto,53.92,SP,7
35.9,22.41,credit_card,58.31,CE,5
35.9,11.15,credit_card,47.05,SP,5
35.9,17.53,credit_card,53.43,SP,6
32.9,14.44,credit_card,47.34,SP,3
119.6,39.44,credit_card,159.04,SP,7
29.9,17.93,credit_card,47.83,MG,4
29.9,14.44,boleto,44.34,SP,4
29.9,15.65,credit_card,72.19,SP,4
19.99,6.65,credit_card,72.19,SP,4
29.9,17.93,credit_card,47.83,RJ,5
29.9,22.93,boleto,52.83,RJ,5
29.9,11.15,boleto,41.05,SP,4
17.9,17.93,credit_card,35.83,DF,7
17.9,22.93,debit_card,40.83,SC,7
17.9,11.15,credit_card,29.05,SP,6
45.9,18.59,credit_card,64.49,SP,6
189.9,11.95,boleto,201.85,SP,3
17.9,17.93,debit_card,35.83,MG,5
239.9,80.49,credit_card,320.39,RS,3
199.9,62.27,credit_card,262.17,SP,7
169.9,18.77,credit_card,188.67,RJ,4
129.9,9.72,credit_card,279.24,SP,3
129.9,9.72,credit_card,279.24,SP,3
129.9,9.72,credit_card,139.62,SP,2
69.9,24.84,credit_card,94.74,AM,7
45.9,11.15,voucher,20.0,SP,5
45.9,11.15,voucher,20.0,SP,5
45.9,11.15,credit_card,17.05,SP,5
39.99,11.15,credit_card,51.14,SP,5
16.9,17.93,boleto,69.66,MG,3
16.9,17.93,boleto,69.66,MG,3
19.99,14.44,voucher,6.67,SP,5
19.99,14.44,voucher,6.09,SP,5
19.99,14.44,voucher,6.67,SP,5
19.99,14.44,voucher,8.33,SP,5
19.99,14.44,voucher,6.67,SP,5
19.99,11.16,credit_card,31.15,SP,7
29.9,17.93,credit_card,47.83,RJ,4
45.0,13.69,credit_card,201.04,SP,4
129.9,12.45,credit_card,201.04,SP,4
19.9,11.15,boleto,31.05,SP,4
199.0,17.87,credit_card,216.87,MG,1
199.0,17.87,credit_card,216.87,MG,1
124.0,15.17,credit_card,139.17,MG,6
168.0,16.03,credit_card,184.03,MG,4
289.0,19.64,credit_card,308.64,MG,1
319.0,21.09,credit_card,340.09,SP,1
259.0,19.64,boleto,278.64,SP,6
384.0,18.71,credit_card,1525.78,RJ,3
384.0,18.71,credit_card,1525.78,RJ,3
199.9,48.64,credit_card,1525.78,RJ,3
199.9,48.64,credit_card,1525.78,RJ,3
199.9,23.38,credit_card,1525.78,RJ,3
219.0,27.61,credit_card,246.61,SP,4
12.99,12.79,credit_card,25.78,SP,8
12.99,12.79,credit_card,25.78,SP,8
49.99,23.07,credit_card,73.06,SP,4
111.99,44.36,credit_card,156.35,RJ,6
79.99,23.36,boleto,103.35,RJ,6
5.6,15.1,boleto,20.7,RS,2
8.8,12.79,credit_card,21.59,SP,8
29.9,12.69,credit_card,42.59,SP,2
2.99,11.85,credit_card,14.84,SP,2
209.9,61.93,credit_card,271.83,MA,2
199.9,27.72,debit_card,227.62,SP,1
209.9,27.79,credit_card,237.69,RS,2
209.9,23.9,credit_card,233.8,SP,3
79.9,17.81,credit_card,97.71,RS,2
78.99,18.12,credit_card,97.11,RJ,1
19.9,16.79,credit_card,36.69,BA,1
14.9,12.79,credit_card,27.69,SP,7
14.9,15.23,credit_card,60.26,RJ,8
14.9,15.23,credit_card,60.26,RJ,8
14.9,19.04,boleto,33.94,CE,8
14.9,18.23,voucher,33.13,RJ,6
19.9,7.78,credit_card,27.68,SP,1
19.9,14.1,boleto,34.0,ES,2
14.9,15.23,boleto,30.13,ES,6
14.9,12.79,boleto,27.69,SP,8
14.9,15.23,credit_card,30.13,MG,3
14.9,22.85,boleto,37.75,PI,7
14.9,15.23,boleto,30.13,RJ,4
14.9,7.39,credit_card,44.58,SP,7
14.9,7.39,credit_card,44.58,SP,7
14.9,7.39,voucher,22.29,SP,7
14.9,7.39,voucher,5.79,SP,8
14.9,7.39,voucher,5.79,SP,8
14.9,7.39,credit_card,4.92,SP,8
14.9,7.39,voucher,5.79,SP,8
19.9,15.23,credit_card,35.13,RJ,4
219.9,32.93,credit_card,252.83,SP,4
14.9,7.39,credit_card,22.29,SP,8
14.9,15.23,credit_card,30.13,DF,6
14.9,8.29,credit_card,23.19,SP,7
14.9,7.39,credit_card,22.29,SP,7
